case,algorithm,mean_S_reward,mean_process_time,process_runs,mean_R_reward,time_reward,distance_reward,quality_reward,load_reward,n_Tasks,n_Agents,caseData
12,Random,"[-0.31999999999999995, -0.31999999999999995, -0.31999999999999995, -0.31999999999999995, -0.31999999999999995, -0.31999999999999995, -0.31999999999999995, -0.31999999999999995, -0.31999999999999995, -0.31999999999999995]","[0.0, 5.1164627075195315e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.22312365758864616, 0.22312365758864616, 0.22312365758864616, 0.22312365758864616, 0.22312365758864616, 0.22312365758864616, 0.22312365758864616, 0.22312365758864616, 0.22312365758864616, 0.22312365758864616]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0016968411864468464, 0.0016968411864468464, 0.0016968411864468464, 0.0016968411864468464, 0.0016968411864468464, 0.0016968411864468464, 0.0016968411864468464, 0.0016968411864468464, 0.0016968411864468464, 0.0016968411864468464]",25,12,"{'case': 0, 'Hold': 4, 'Att': 4, 'Rec': 16, 'F1': 4, 'F2': 2, 'R1': 6}"
12,TBTA,"[0.08000000000000006, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3, -0.3]","[0.004822821617126465, 0.004350721836090088, 0.004593772888183594, 0.004391589164733887, 0.00614549994468689, 0.005862281322479248, 0.004697090387344361, 0.005067102909088135, 0.0048008251190185544, 0.0042081475257873535]","[200, 200, 200, 200, 200, 200, 200, 200, 200, 200]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.15601122301864498, 0.24101392539788932, 0.24101392539788932, 0.24101392539788932, 0.24101392539788932, 0.24101392539788932, 0.24101392539788932, 0.24101392539788932, 0.24101392539788932, 0.24101392539788932]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0013546788850214804, 0.0021520663184215454, 0.0021520663184215454, 0.0021520663184215454, 0.0021520663184215454, 0.0021520663184215454, 0.0021520663184215454, 0.0021520663184215454, 0.0021520663184215454, 0.0021520663184215454]",25,12,"{'case': 0, 'Hold': 4, 'Att': 4, 'Rec': 16, 'F1': 4, 'F2': 2, 'R1': 6}"
