case,algorithm,mean_S_reward,mean_process_time,process_runs,mean_R_reward,time_reward,distance_reward,quality_reward,load_reward,n_Tasks,n_Agents,caseData
10,Random,[245.75000000000028],[7.412433624267578e-06],[300],[0],[0],[0.04865636421890524],[0.0],[0.001982797756100893],27,10,"{'case': 0, 'Att': 6, 'Rec': 20, 'F1': 2, 'F2': 2, 'R1': 6}"
10,TBTA,[383.1999999999987],[0.004909899234771729],[300],[0],[0],[0.03571288859709386],[0.0],[0.000986907786495331],27,10,"{'case': 0, 'Att': 6, 'Rec': 20, 'F1': 2, 'F2': 2, 'R1': 6}"
