F_time,F_distance,F_load,F_quality,F_Reward,S_Reward,Algorithm
1.0,0.4081632653061224,inf,0.16666666666666666,0.3520408163265306,-6.033274341092948,Random
1.0,0.4040404040404042,inf,0.06666666666666667,0.29101010101010105,-14.489669128440235,Random
1.0,0.40955631399317394,inf,0.2,0.3723890784982935,0.26068742870704575,Random
1.0,0.409556313993174,inf,0.2,0.3723890784982935,5.601934495400106,Random
1.0,0.40816326530612246,inf,0.16666666666666666,0.3520408163265306,-1.9017563946301266,Random
1.0,0.40816326530612235,inf,0.13333333333333333,0.3320408163265306,-7.002607359396144,Random
1.0,0.40816326530612235,inf,0.2,0.3720408163265306,-10.026593345686923,Random
1.0,0.4054054054054055,inf,0.1,0.3113513513513514,-13.161282607942852,Random
1.0,0.4137931034482757,inf,0.3,0.4334482758620689,15.726031894770266,Random
1.0,0.4081632653061224,inf,0.13333333333333333,0.3320408163265306,-8.927748264896682,Random
1.0,0.41237113402061865,inf,0.26666666666666666,0.41309278350515466,10.313490756131404,Random
1.0,0.41095890410958913,inf,0.2,0.37273972602739724,7.086285509785466,Random
1.0,0.40677966101694923,inf,0.13333333333333333,0.33169491525423733,-7.890976385171655,Random
1.0,0.4067796610169489,inf,0.16666666666666666,0.35169491525423724,-0.5796273230152984,Random
1.0,0.40677966101694907,inf,0.13333333333333333,0.3316949152542372,-11.693605620430176,Random
1.0,0.41095890410958896,inf,0.23333333333333334,0.39273972602739726,3.0447981281468692,Random
1.0,0.4081632653061223,inf,0.16666666666666666,0.35204081632653056,-3.3484793924722656,Random
1.0,0.40404040404040387,inf,0.1,0.31101010101010096,-14.230686096070023,Random
1.0,0.40677966101694923,inf,0.1,0.3116949152542373,-13.151074494785936,Random
1.0,0.40677966101694907,inf,0.16666666666666666,0.35169491525423724,-16.77668014212768,Random
1.0,0.4109589041095888,inf,0.23333333333333334,0.39273972602739715,-2.5765675337332343,Random
1.0,0.4054054054054054,inf,0.06666666666666667,0.2913513513513514,-18.15401280389669,Random
1.0,0.40677966101694923,inf,0.13333333333333333,0.33169491525423733,-9.368111893577197,Random
1.0,0.4123711340206185,inf,0.23333333333333334,0.39309278350515464,4.407421155042252,Random
1.0,0.40816326530612235,inf,0.16666666666666666,0.3520408163265306,-9.287580094442621,Random
1.0,0.4081632653061223,inf,0.2,0.3720408163265305,-7.255450488143985,Random
1.0,0.4109589041095893,inf,0.2,0.37273972602739736,2.270874388944101,Random
1.0,0.404040404040404,inf,0.06666666666666667,0.291010101010101,-14.98262045293313,Random
1.0,0.4054054054054052,inf,0.1,0.3113513513513513,-18.88408932784265,Random
1.0,0.4067796610169493,inf,0.16666666666666666,0.35169491525423735,-8.600814041403613,Random
1.0,0.410958904109589,inf,0.23333333333333334,0.39273972602739726,-0.5958166583238818,Random
1.0,0.4067796610169493,inf,0.1,0.3116949152542373,-14.40645517152325,Random
1.0,0.40955631399317405,inf,0.2,0.3723890784982935,0.4574309433024659,Random
1.0,0.4067796610169493,inf,0.13333333333333333,0.33169491525423733,-5.877593287389807,Random
1.0,0.4067796610169489,inf,0.16666666666666666,0.35169491525423724,-14.644742992027044,Random
1.0,0.40677966101694923,inf,0.13333333333333333,0.33169491525423733,-10.700186241130321,Random
1.0,0.40816326530612235,inf,0.16666666666666666,0.3520408163265306,-6.290046969058494,Random
1.0,0.4081632653061224,inf,0.13333333333333333,0.3320408163265306,-5.564459577188639,Random
1.0,0.40816326530612246,inf,0.16666666666666666,0.3520408163265306,-5.411383385996768,Random
1.0,0.4095563139931742,inf,0.2,0.3723890784982935,-4.187215069847236,Random
1.0,0.40816326530612235,inf,0.2,0.3720408163265306,0.6093443776014915,Random
1.0,0.40677966101694923,inf,0.13333333333333333,0.33169491525423733,-3.948199547200627,Random
1.0,0.4095563139931739,inf,0.16666666666666666,0.3523890784982935,-4.719764502664436,Random
