case,algorithm,mean_S_reward,mean_process_time,process_runs,mean_R_reward,n_Tasks,n_Agents,caseData
10,TBTA,67.98595385594312,0.001955741776360406,9.0,1.2310726962201963,9,10,"{'case': 7, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 7}"
10,Random,49.47950238556031,3.0014514923095704e-06,10.0,0.9401897385521313,10,10,"{'case': 8, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 8}"
10,Swarm-GAP,63.62705523234241,0.00010416082179907598,10.91,1.0642181312409658,10,10,"{'case': 8, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 8}"
10,CBBA,73.92793407193547,0.010509493350982667,1.0,1.1256345121244002,10,10,"{'case': 8, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 8}"
10,TBTA,68.60100695989219,0.001805185079574585,10.0,1.2372785060908238,10,10,"{'case': 8, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 8}"
10,Random,52.990760773828725,3.63501635464755e-06,11.0,0.9226192755524646,11,10,"{'case': 9, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 9}"
10,Swarm-GAP,64.79519857609851,9.209471800697651e-05,15.41,1.0396028100450267,11,10,"{'case': 9, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 9}"
10,CBBA,75.11116166850923,0.014969484806060791,1.0,1.0482120458365818,11,10,"{'case': 9, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 9}"
10,TBTA,68.22478720095958,0.001679247942837802,11.0,1.201614605627268,11,10,"{'case': 9, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 9}"
10,Random,53.292855886192065,1.666744550069173e-06,12.0,0.9132021613780167,12,10,"{'case': 10, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 10}"
10,Swarm-GAP,66.3886821580743,0.00010816579966364004,13.85,0.9456777415211889,12,10,"{'case': 10, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 10}"
10,CBBA,78.53571523170577,0.015979793071746826,1.0,1.027446173200304,12,10,"{'case': 10, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 10}"
10,TBTA,64.90660432375121,0.0016769840319951377,12.0,1.0496505464459804,12,10,"{'case': 10, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 10}"
10,Random,52.161027652015434,9.235968956580528e-06,13.0,0.8662207856518982,13,10,"{'case': 11, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 11}"
10,Swarm-GAP,69.57853853173322,0.00015263136944973979,13.59,0.9226841896584225,13,10,"{'case': 11, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 11}"
10,CBBA,81.29932909221267,0.018408803939819335,1.0,0.9984121217433843,13,10,"{'case': 11, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 11}"
10,TBTA,65.20647261545491,0.0024094864038320687,13.0,1.0273829796425793,13,10,"{'case': 11, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 11}"
10,Random,51.86858393183355,2.143723624093192e-06,14.0,0.8315536033284929,14,10,"{'case': 12, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 12}"
10,Swarm-GAP,71.10762487705298,0.0001317363509110042,14.22,0.8843916681775833,14,10,"{'case': 12, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 12}"
10,CBBA,85.2806814350941,0.023968818187713622,1.0,0.9751502117241425,14,10,"{'case': 12, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 12}"
10,TBTA,64.6407677494327,0.0020959695747920447,14.0,0.8632942182978245,14,10,"{'case': 12, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 12}"
10,Random,48.26669341318644,4.001140594482421e-06,15.0,0.7426999328302913,15,10,"{'case': 13, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 13}"
10,Swarm-GAP,70.9999586693497,0.00010984688160712257,15.14,0.8623710850137571,15,10,"{'case': 13, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 13}"
10,CBBA,86.82126340329934,0.027279295921325684,1.0,0.9393237051121933,15,10,"{'case': 13, 'F1': 2, 'F2': 2, 'R1': 3, 'R2': 3, 'Att': 2, 'Rec': 13}"
