
Best Saved


Epoch #20:  90%|######### | 5400/6000 [00:06<00:00, 914.72it/s, agent0/loss=12.532, env_step=119400, gradient_step=1990, len=6, n/ep=100, n/st=600, rew=1.85]
Epoch #20: 6001it [00:06, 881.44it/s, agent0/loss=12.428, env_step=120000, gradient_step=2000, len=6, n/ep=100, n/st=600, rew=2.80]


Epoch #21:  80%|########  | 4800/6000 [00:05<00:01, 835.93it/s, agent0/loss=12.190, env_step=124800, gradient_step=2080, len=6, n/ep=100, n/st=600, rew=2.12]
Epoch #21: 6001it [00:07, 855.86it/s, agent0/loss=11.972, env_step=126000, gradient_step=2100, len=6, n/ep=100, n/st=600, rew=2.37]



Epoch #22:  80%|########  | 4800/6000 [00:06<00:01, 769.56it/s, agent0/loss=11.408, env_step=130800, gradient_step=2180, len=6, n/ep=100, n/st=600, rew=2.62]
Epoch #22: 6001it [00:07, 762.82it/s, agent0/loss=11.270, env_step=132000, gradient_step=2200, len=6, n/ep=100, n/st=600, rew=1.97]



Epoch #23:  80%|########  | 4800/6000 [00:06<00:01, 816.93it/s, agent0/loss=10.939, env_step=136800, gradient_step=2280, len=6, n/ep=100, n/st=600, rew=2.25]
Epoch #23: 6001it [00:07, 794.26it/s, agent0/loss=11.066, env_step=138000, gradient_step=2300, len=6, n/ep=100, n/st=600, rew=2.53]



Epoch #24:  90%|######### | 5400/6000 [00:06<00:00, 790.05it/s, agent0/loss=11.012, env_step=143400, gradient_step=2390, len=6, n/ep=100, n/st=600, rew=2.65]
Epoch #24: 6001it [00:07, 779.63it/s, agent0/loss=10.924, env_step=144000, gradient_step=2400, len=6, n/ep=100, n/st=600, rew=1.96]


Epoch #25: 6001it [00:07, 827.25it/s, agent0/loss=9.532, env_step=150000, gradient_step=2500, len=6, n/ep=100, n/st=600, rew=2.49]
Epoch #26:   0%|          | 0/6000 [00:00<?, ?it/s]



Epoch #26:  80%|########  | 4800/6000 [00:05<00:01, 769.95it/s, agent0/loss=9.493, env_step=154800, gradient_step=2580, len=6, n/ep=100, n/st=600, rew=2.38]
Epoch #26: 6001it [00:07, 801.84it/s, agent0/loss=9.450, env_step=156000, gradient_step=2600, len=6, n/ep=100, n/st=600, rew=2.16]



Epoch #27:  80%|########  | 4800/6000 [00:06<00:01, 809.00it/s, agent0/loss=9.701, env_step=160800, gradient_step=2680, len=6, n/ep=100, n/st=600, rew=2.63]
Epoch #27: 6001it [00:07, 797.71it/s, agent0/loss=9.723, env_step=162000, gradient_step=2700, len=6, n/ep=100, n/st=600, rew=2.12]



Epoch #28:  90%|######### | 5400/6000 [00:06<00:00, 781.67it/s, agent0/loss=8.937, env_step=167400, gradient_step=2790, len=6, n/ep=100, n/st=600, rew=2.54]
Epoch #28: 6001it [00:07, 795.87it/s, agent0/loss=8.807, env_step=168000, gradient_step=2800, len=6, n/ep=100, n/st=600, rew=2.31]


Epoch #29: 6001it [00:07, 812.76it/s, agent0/loss=8.700, env_step=174000, gradient_step=2900, len=6, n/ep=100, n/st=600, rew=2.17]
Epoch #30:   0%|          | 0/6000 [00:00<?, ?it/s]



Epoch #30:  80%|########  | 4800/6000 [00:06<00:01, 792.08it/s, agent0/loss=8.942, env_step=178800, gradient_step=2980, len=6, n/ep=100, n/st=600, rew=2.37]
Epoch #30: 6001it [00:07, 798.26it/s, agent0/loss=8.791, env_step=180000, gradient_step=3000, len=6, n/ep=100, n/st=600, rew=2.02]



Epoch #31:  90%|######### | 5400/6000 [00:06<00:00, 842.30it/s, agent0/loss=8.250, env_step=185400, gradient_step=3090, len=6, n/ep=100, n/st=600, rew=2.68]
Epoch #31: 6001it [00:07, 836.88it/s, agent0/loss=8.255, env_step=186000, gradient_step=3100, len=6, n/ep=100, n/st=600, rew=2.54]



Epoch #32:  90%|######### | 5400/6000 [00:06<00:00, 776.44it/s, agent0/loss=8.341, env_step=191400, gradient_step=3190, len=6, n/ep=100, n/st=600, rew=2.17]
Epoch #32: 6001it [00:07, 782.46it/s, agent0/loss=8.295, env_step=192000, gradient_step=3200, len=6, n/ep=100, n/st=600, rew=2.15]


Epoch #33: 6001it [00:07, 791.69it/s, agent0/loss=8.525, env_step=198000, gradient_step=3300, len=6, n/ep=100, n/st=600, rew=2.55]
Epoch #34:   0%|          | 0/6000 [00:00<?, ?it/s]



Epoch #34:  80%|########  | 4800/6000 [00:05<00:01, 820.47it/s, agent0/loss=8.140, env_step=202800, gradient_step=3380, len=6, n/ep=100, n/st=600, rew=2.08]
Epoch #34: 6001it [00:07, 796.65it/s, agent0/loss=8.095, env_step=204000, gradient_step=3400, len=6, n/ep=100, n/st=600, rew=2.06]



Epoch #35:  90%|######### | 5400/6000 [00:06<00:00, 834.98it/s, agent0/loss=8.121, env_step=209400, gradient_step=3490, len=6, n/ep=100, n/st=600, rew=2.34]
Epoch #35: 6001it [00:07, 823.18it/s, agent0/loss=8.143, env_step=210000, gradient_step=3500, len=6, n/ep=100, n/st=600, rew=2.52]



Epoch #36: 100%|##########| 6000/6000 [00:07<00:00, 820.16it/s, agent0/loss=8.097, env_step=215400, gradient_step=3590, len=6, n/ep=100, n/st=600, rew=2.73]
Epoch #36: 6001it [00:07, 813.80it/s, agent0/loss=8.114, env_step=216000, gradient_step=3600, len=6, n/ep=100, n/st=600, rew=2.42]


Epoch #37: 6001it [00:07, 791.88it/s, agent0/loss=7.383, env_step=222000, gradient_step=3700, len=6, n/ep=100, n/st=600, rew=2.21]
Epoch #38:   0%|          | 0/6000 [00:00<?, ?it/s]



