
Best Saved


Epoch #1:  70%|#######   | 4200/6000 [00:05<00:02, 804.19it/s, agent0/loss=5.147, env_step=4200, gradient_step=70, len=5, n/ep=105, n/st=600, rew=2.22]
Epoch #1: 6001it [00:08, 747.42it/s, agent0/loss=5.247, env_step=6000, gradient_step=100, len=5, n/ep=102, n/st=600, rew=2.41]



Epoch #2:  80%|########  | 4800/6000 [00:05<00:01, 823.77it/s, agent0/loss=5.652, env_step=10800, gradient_step=180, len=5, n/ep=102, n/st=600, rew=2.89]
Epoch #2: 6001it [00:07, 845.65it/s, agent0/loss=5.594, env_step=12000, gradient_step=200, len=5, n/ep=104, n/st=600, rew=3.15]


Epoch #3:  70%|#######   | 4200/6000 [00:04<00:02, 860.27it/s, agent0/loss=5.503, env_step=16200, gradient_step=270, len=5, n/ep=106, n/st=600, rew=2.46]
Epoch #3: 6001it [00:06, 860.41it/s, agent0/loss=5.436, env_step=18000, gradient_step=300, len=5, n/ep=102, n/st=600, rew=3.59]



Epoch #4:  80%|########  | 4800/6000 [00:05<00:01, 862.81it/s, agent0/loss=5.323, env_step=22800, gradient_step=380, len=5, n/ep=104, n/st=600, rew=2.82]
Epoch #4: 6001it [00:07, 848.59it/s, agent0/loss=5.238, env_step=24000, gradient_step=400, len=6, n/ep=100, n/st=600, rew=1.28]



Epoch #5: 100%|##########| 6000/6000 [00:06<00:00, 836.23it/s, agent0/loss=5.609, env_step=29400, gradient_step=490, len=5, n/ep=101, n/st=600, rew=2.25]
Epoch #5: 6001it [00:07, 854.75it/s, agent0/loss=5.781, env_step=30000, gradient_step=500, len=5, n/ep=104, n/st=600, rew=3.12]


Epoch #6:  70%|#######   | 4200/6000 [00:05<00:02, 770.09it/s, agent0/loss=5.703, env_step=34200, gradient_step=570, len=5, n/ep=101, n/st=600, rew=2.85]
Epoch #6: 6001it [00:07, 789.26it/s, agent0/loss=5.299, env_step=36000, gradient_step=600, len=5, n/ep=102, n/st=600, rew=2.79]



Epoch #7:  80%|########  | 4800/6000 [00:05<00:01, 854.05it/s, agent0/loss=5.778, env_step=40800, gradient_step=680, len=5, n/ep=103, n/st=600, rew=2.27]
Epoch #7: 6001it [00:07, 804.96it/s, agent0/loss=6.015, env_step=42000, gradient_step=700, len=5, n/ep=111, n/st=600, rew=4.00]



Epoch #8:  90%|######### | 5400/6000 [00:06<00:00, 813.00it/s, agent0/loss=6.413, env_step=47400, gradient_step=790, len=5, n/ep=105, n/st=600, rew=3.90]
Epoch #8: 6001it [00:07, 829.69it/s, agent0/loss=6.447, env_step=48000, gradient_step=800, len=5, n/ep=105, n/st=600, rew=3.10]


Epoch #9:  80%|########  | 4800/6000 [00:05<00:01, 837.21it/s, agent0/loss=6.545, env_step=52200, gradient_step=870, len=5, n/ep=106, n/st=600, rew=4.75]
Epoch #9: 6001it [00:07, 835.97it/s, agent0/loss=6.823, env_step=54000, gradient_step=900, len=5, n/ep=108, n/st=600, rew=3.35]



Epoch #10:  80%|########  | 4800/6000 [00:06<00:01, 798.60it/s, agent0/loss=7.524, env_step=58800, gradient_step=980, len=5, n/ep=108, n/st=600, rew=4.06]
Epoch #10: 6001it [00:07, 793.96it/s, agent0/loss=7.674, env_step=60000, gradient_step=1000, len=5, n/ep=103, n/st=600, rew=3.75]


Epoch #11: 6001it [00:06, 893.10it/s, agent0/loss=8.811, env_step=66000, gradient_step=1100, len=5, n/ep=107, n/st=600, rew=4.16]
Epoch #12:   0%|          | 0/6000 [00:00<?, ?it/s]



Epoch #12:  80%|########  | 4800/6000 [00:05<00:01, 852.12it/s, agent0/loss=10.040, env_step=70800, gradient_step=1180, len=5, n/ep=105, n/st=600, rew=4.82]
Epoch #12: 6001it [00:07, 814.04it/s, agent0/loss=10.079, env_step=72000, gradient_step=1200, len=5, n/ep=107, n/st=600, rew=4.17]



Epoch #13:  90%|######### | 5400/6000 [00:06<00:00, 828.27it/s, agent0/loss=11.511, env_step=77400, gradient_step=1290, len=5, n/ep=109, n/st=600, rew=4.97]
Best Saved
