
Best Saved













Epoch #19:  98%|#########7| 23400/24000 [00:25<00:00, 896.76it/s, agent0/loss=2.369, env_step=455400, gradient_step=7590, len=24, n/ep=24, n/st=600, rew=0.38]
Epoch #19: 24001it [00:26, 905.05it/s, agent0/loss=2.298, env_step=456000, gradient_step=7600, len=24, n/ep=26, n/st=600, rew=0.92]












Epoch #20: 24001it [00:27, 881.73it/s, agent0/loss=2.763, env_step=480000, gradient_step=8000, len=24, n/ep=25, n/st=600, rew=1.32]
Epoch #21:   0%|          | 0/24000 [00:00<?, ?it/s]














Epoch #21:  98%|#########7| 23400/24000 [00:27<00:00, 862.40it/s, agent0/loss=2.136, env_step=502800, gradient_step=8380, len=24, n/ep=25, n/st=600, rew=0.84]
Epoch #21: 24001it [00:28, 844.45it/s, agent0/loss=2.041, env_step=504000, gradient_step=8400, len=24, n/ep=25, n/st=600, rew=0.48]













Epoch #22:  98%|#########7| 23400/24000 [00:27<00:00, 847.80it/s, agent0/loss=2.523, env_step=527400, gradient_step=8790, len=24, n/ep=25, n/st=600, rew=0.48]
Epoch #22: 24001it [00:27, 862.81it/s, agent0/loss=2.407, env_step=528000, gradient_step=8800, len=24, n/ep=25, n/st=600, rew=1.24]












Epoch #23:  98%|#########7| 23400/24000 [00:25<00:00, 929.04it/s, agent0/loss=2.494, env_step=550800, gradient_step=9180, len=24, n/ep=24, n/st=600, rew=1.00]
Epoch #23: 24001it [00:26, 915.77it/s, agent0/loss=2.406, env_step=552000, gradient_step=9200, len=24, n/ep=24, n/st=600, rew=0.42]












Epoch #24:  98%|#########7| 23400/24000 [00:25<00:00, 951.31it/s, agent0/loss=2.260, env_step=574800, gradient_step=9580, len=24, n/ep=23, n/st=600, rew=1.09]
Epoch #24: 24001it [00:26, 920.13it/s, agent0/loss=2.304, env_step=576000, gradient_step=9600, len=24, n/ep=23, n/st=600, rew=0.48]













Epoch #25:  98%|#########7| 23400/24000 [00:26<00:00, 888.79it/s, agent0/loss=1.862, env_step=599400, gradient_step=9990, len=24, n/ep=28, n/st=600, rew=2.64]
Epoch #25: 24001it [00:27, 877.59it/s, agent0/loss=1.809, env_step=600000, gradient_step=10000, len=23, n/ep=23, n/st=600, rew=3.61]












Epoch #26: 24001it [00:27, 878.27it/s, agent0/loss=2.381, env_step=624000, gradient_step=10400, len=24, n/ep=23, n/st=600, rew=0.43]
Epoch #27:   0%|          | 0/24000 [00:00<?, ?it/s]












Epoch #27: 24001it [00:26, 913.51it/s, agent0/loss=2.443, env_step=648000, gradient_step=10800, len=24, n/ep=24, n/st=600, rew=1.92]
Epoch #28:   0%|          | 0/24000 [00:00<?, ?it/s]













Epoch #28:  98%|#########7| 23400/24000 [00:26<00:00, 905.19it/s, agent0/loss=2.384, env_step=670800, gradient_step=11180, len=24, n/ep=25, n/st=600, rew=1.48]
Epoch #28: 24001it [00:26, 894.86it/s, agent0/loss=2.465, env_step=672000, gradient_step=11200, len=24, n/ep=25, n/st=600, rew=0.76]












Epoch #29: 24001it [00:26, 899.80it/s, agent0/loss=2.199, env_step=696000, gradient_step=11600, len=24, n/ep=25, n/st=600, rew=0.56]
Epoch #30:   2%|2         | 600/24000 [00:00<00:18, 1298.42it/s]













